"crops","nitrogen","phosphorus","potassium","ph","temperature","rainfall","season","soil_type"
"jowar","n_60_80","p_25_45","k_35_55",6,"t_25_30",40,"kharif","loam"
"jowar","n_60_80","p_25_45","k_35_55",8.5,"t_25_30",40,"kharif","loam"
"jowar","n_60_80","p_25_45","k_35_55",6,"t_30_35",40,"kharif","loam"
"jowar","n_60_80","p_25_45","k_35_55",8.5,"t_30_35",40,"kharif","loam"
"jowar","n_60_80","p_25_45","k_35_55",6,"t_25_30",45,"kharif","loam"
"jowar","n_60_80","p_25_45","k_35_55",8.5,"t_25_30",45,"kharif","loam"
"jowar","n_60_80","p_25_45","k_35_55",6,"t_30_35",45,"kharif","loam"
"jowar","n_60_80","p_25_45","k_35_55",8.5,"t_30_35",45,"kharif","loam"
"jowar","n_60_80","p_25_45","k_35_55",6,"t_25_30",40,"kharif","sandy"
"jowar","n_60_80","p_25_45","k_35_55",8.5,"t_25_30",40,"kharif","sandy"
"jowar","n_60_80","p_25_45","k_35_55",6,"t_30_35",40,"kharif","sandy"
"jowar","n_60_80","p_25_45","k_35_55",8.5,"t_30_35",40,"kharif","sandy"
"jowar","n_60_80","p_25_45","k_35_55",6,"t_25_30",45,"kharif","sandy"
"jowar","n_60_80","p_25_45","k_35_55",8.5,"t_25_30",45,"kharif","sandy"
"jowar","n_60_80","p_25_45","k_35_55",6,"t_30_35",45,"kharif","sandy"
"jowar","n_60_80","p_25_45","k_35_55",8.5,"t_30_35",45,"kharif","sandy"
"jowar","n_60_80","p_25_45","k_35_55",6,"t_25_30",40,"kharif","clay"
"jowar","n_60_80","p_25_45","k_35_55",8.5,"t_25_30",40,"kharif","clay"
"jowar","n_60_80","p_25_45","k_35_55",6,"t_30_35",40,"kharif","clay"
"jowar","n_60_80","p_25_45","k_35_55",8.5,"t_30_35",40,"kharif","clay"
"jowar","n_60_80","p_25_45","k_35_55",6,"t_25_30",45,"kharif","clay"
"jowar","n_60_80","p_25_45","k_35_55",8.5,"t_25_30",45,"kharif","clay"
"jowar","n_60_80","p_25_45","k_35_55",6,"t_30_35",45,"kharif","clay"
"jowar","n_60_80","p_25_45","k_35_55",8.5,"t_30_35",45,"kharif","clay"
"jowar","n_60_80","p_25_45","k_35_55",6,"t_25_30",40,"kharif","alluvial"
"jowar","n_60_80","p_25_45","k_35_55",8.5,"t_25_30",40,"kharif","alluvial"
"jowar","n_60_80","p_25_45","k_35_55",6,"t_30_35",40,"kharif","alluvial"
"jowar","n_60_80","p_25_45","k_35_55",8.5,"t_30_35",40,"kharif","alluvial"
"jowar","n_60_80","p_25_45","k_35_55",6,"t_25_30",45,"kharif","alluvial"
"jowar","n_60_80","p_25_45","k_35_55",8.5,"t_25_30",45,"kharif","alluvial"
"jowar","n_60_80","p_25_45","k_35_55",6,"t_30_35",45,"kharif","alluvial"
"jowar","n_60_80","p_25_45","k_35_55",8.5,"t_30_35",45,"kharif","alluvial"
"barley","n_60_80","p_25_45","k_35_55",6,"t_10_15",39,"rabi","clay"
"barley","n_60_80","p_25_45","k_35_55",7.5,"t_10_15",39,"rabi","clay"
"barley","n_60_80","p_25_45","k_35_55",6,"t_15_20",39,"rabi","clay"
"barley","n_60_80","p_25_45","k_35_55",7.5,"t_15_20",39,"rabi","clay"
"barley","n_60_80","p_25_45","k_35_55",6,"t_20_25",39,"rabi","clay"
"barley","n_60_80","p_25_45","k_35_55",7.5,"t_20_25",39,"rabi","clay"
"barley","n_60_80","p_25_45","k_35_55",6,"t_10_15",43,"rabi","clay"
"barley","n_60_80","p_25_45","k_35_55",7.5,"t_10_15",43,"rabi","clay"
"barley","n_60_80","p_25_45","k_35_55",6,"t_15_20",43,"rabi","clay"
"barley","n_60_80","p_25_45","k_35_55",7.5,"t_15_20",43,"rabi","clay"
"barley","n_60_80","p_25_45","k_35_55",6,"t_20_25",43,"rabi","clay"
"barley","n_60_80","p_25_45","k_35_55",7.5,"t_20_25",43,"rabi","clay"
"barley","n_60_80","p_25_45","k_35_55",6,"t_10_15",39,"rabi","sandy_loam"
"barley","n_60_80","p_25_45","k_35_55",7.5,"t_10_15",39,"rabi","sandy_loam"
"barley","n_60_80","p_25_45","k_35_55",6,"t_15_20",39,"rabi","sandy_loam"
"barley","n_60_80","p_25_45","k_35_55",7.5,"t_15_20",39,"rabi","sandy_loam"
"barley","n_60_80","p_25_45","k_35_55",6,"t_20_25",39,"rabi","sandy_loam"
"barley","n_60_80","p_25_45","k_35_55",7.5,"t_20_25",39,"rabi","sandy_loam"
"barley","n_60_80","p_25_45","k_35_55",6,"t_10_15",43,"rabi","sandy_loam"
"barley","n_60_80","p_25_45","k_35_55",7.5,"t_10_15",43,"rabi","sandy_loam"
"barley","n_60_80","p_25_45","k_35_55",6,"t_15_20",43,"rabi","sandy_loam"
"barley","n_60_80","p_25_45","k_35_55",7.5,"t_15_20",43,"rabi","sandy_loam"
"barley","n_60_80","p_25_45","k_35_55",6,"t_20_25",43,"rabi","sandy_loam"
"barley","n_60_80","p_25_45","k_35_55",7.5,"t_20_25",43,"rabi","sandy_loam"
"bajra","n_90_110","p_25_45","k_5_15",4,"t_40_45",40,"kharif","sandy"
"bajra","n_90_110","p_25_45","k_5_15",5.5,"t_40_45",40,"kharif","sandy"
"bajra","n_90_110","p_25_45","k_5_15",4,"t_45_50",40,"kharif","sandy"
"bajra","n_90_110","p_25_45","k_5_15",5.5,"t_45_50",40,"kharif","sandy"
"bajra","n_90_110","p_25_45","k_5_15",4,"t_50_55",40,"kharif","sandy"
"bajra","n_90_110","p_25_45","k_5_15",5.5,"t_50_55",40,"kharif","sandy"
"bajra","n_90_110","p_25_45","k_5_15",4,"t_55_60",40,"kharif","sandy"
"bajra","n_90_110","p_25_45","k_5_15",5.5,"t_55_60",40,"kharif","sandy"
"bajra","n_90_110","p_25_45","k_5_15",4,"t_40_45",45,"kharif","sandy"
"bajra","n_90_110","p_25_45","k_5_15",5.5,"t_40_45",45,"kharif","sandy"
"bajra","n_90_110","p_25_45","k_5_15",4,"t_45_50",45,"kharif","sandy"
"bajra","n_90_110","p_25_45","k_5_15",5.5,"t_45_50",45,"kharif","sandy"
"bajra","n_90_110","p_25_45","k_5_15",4,"t_50_55",45,"kharif","sandy"
"bajra","n_90_110","p_25_45","k_5_15",5.5,"t_50_55",45,"kharif","sandy"
"bajra","n_90_110","p_25_45","k_5_15",4,"t_55_60",45,"kharif","sandy"
"bajra","n_90_110","p_25_45","k_5_15",5.5,"t_55_60",45,"kharif","sandy"
"bajra","n_90_110","p_25_45","k_5_15",4,"t_40_45",40,"kharif","black"
"bajra","n_90_110","p_25_45","k_5_15",5.5,"t_40_45",40,"kharif","black"
"bajra","n_90_110","p_25_45","k_5_15",4,"t_45_50",40,"kharif","black"
"bajra","n_90_110","p_25_45","k_5_15",5.5,"t_45_50",40,"kharif","black"
"bajra","n_90_110","p_25_45","k_5_15",4,"t_50_55",40,"kharif","black"
"bajra","n_90_110","p_25_45","k_5_15",5.5,"t_50_55",40,"kharif","black"
"bajra","n_90_110","p_25_45","k_5_15",4,"t_55_60",40,"kharif","black"
"bajra","n_90_110","p_25_45","k_5_15",5.5,"t_55_60",40,"kharif","black"
"bajra","n_90_110","p_25_45","k_5_15",4,"t_40_45",45,"kharif","black"
"bajra","n_90_110","p_25_45","k_5_15",5.5,"t_40_45",45,"kharif","black"
"bajra","n_90_110","p_25_45","k_5_15",4,"t_45_50",45,"kharif","black"
"bajra","n_90_110","p_25_45","k_5_15",5.5,"t_45_50",45,"kharif","black"
"bajra","n_90_110","p_25_45","k_5_15",4,"t_50_55",45,"kharif","black"
"bajra","n_90_110","p_25_45","k_5_15",5.5,"t_50_55",45,"kharif","black"
"bajra","n_90_110","p_25_45","k_5_15",4,"t_55_60",45,"kharif","black"
"bajra","n_90_110","p_25_45","k_5_15",5.5,"t_55_60",45,"kharif","black"
"bajra","n_90_110","p_25_45","k_5_15",4,"t_40_45",40,"kharif","red"
"bajra","n_90_110","p_25_45","k_5_15",5.5,"t_40_45",40,"kharif","red"
"bajra","n_90_110","p_25_45","k_5_15",4,"t_45_50",40,"kharif","red"
"bajra","n_90_110","p_25_45","k_5_15",5.5,"t_45_50",40,"kharif","red"
"bajra","n_90_110","p_25_45","k_5_15",4,"t_50_55",40,"kharif","red"
"bajra","n_90_110","p_25_45","k_5_15",5.5,"t_50_55",40,"kharif","red"
"bajra","n_90_110","p_25_45","k_5_15",4,"t_55_60",40,"kharif","red"
"bajra","n_90_110","p_25_45","k_5_15",5.5,"t_55_60",40,"kharif","red"
"bajra","n_90_110","p_25_45","k_5_15",4,"t_40_45",45,"kharif","red"
"bajra","n_90_110","p_25_45","k_5_15",5.5,"t_40_45",45,"kharif","red"
"bajra","n_90_110","p_25_45","k_5_15",4,"t_45_50",45,"kharif","red"
"bajra","n_90_110","p_25_45","k_5_15",5.5,"t_45_50",45,"kharif","red"
"bajra","n_90_110","p_25_45","k_5_15",4,"t_50_55",45,"kharif","red"
"bajra","n_90_110","p_25_45","k_5_15",5.5,"t_50_55",45,"kharif","red"
"bajra","n_90_110","p_25_45","k_5_15",4,"t_55_60",45,"kharif","red"
"bajra","n_90_110","p_25_45","k_5_15",5.5,"t_55_60",45,"kharif","red"
"bajra","n_90_110","p_25_45","k_5_15",4,"t_40_45",40,"kharif","gravely"
"bajra","n_90_110","p_25_45","k_5_15",5.5,"t_40_45",40,"kharif","gravely"
"bajra","n_90_110","p_25_45","k_5_15",4,"t_45_50",40,"kharif","gravely"
"bajra","n_90_110","p_25_45","k_5_15",5.5,"t_45_50",40,"kharif","gravely"
"bajra","n_90_110","p_25_45","k_5_15",4,"t_50_55",40,"kharif","gravely"
"bajra","n_90_110","p_25_45","k_5_15",5.5,"t_50_55",40,"kharif","gravely"
"bajra","n_90_110","p_25_45","k_5_15",4,"t_55_60",40,"kharif","gravely"
"bajra","n_90_110","p_25_45","k_5_15",5.5,"t_55_60",40,"kharif","gravely"
"bajra","n_90_110","p_25_45","k_5_15",4,"t_40_45",45,"kharif","gravely"
"bajra","n_90_110","p_25_45","k_5_15",5.5,"t_40_45",45,"kharif","gravely"
"bajra","n_90_110","p_25_45","k_5_15",4,"t_45_50",45,"kharif","gravely"
"bajra","n_90_110","p_25_45","k_5_15",5.5,"t_45_50",45,"kharif","gravely"
"bajra","n_90_110","p_25_45","k_5_15",4,"t_50_55",45,"kharif","gravely"
"bajra","n_90_110","p_25_45","k_5_15",5.5,"t_50_55",45,"kharif","gravely"
"bajra","n_90_110","p_25_45","k_5_15",4,"t_55_60",45,"kharif","gravely"
"bajra","n_90_110","p_25_45","k_5_15",5.5,"t_55_60",45,"kharif","gravely"
"maize","n_60_80","p_25_45","k_15_35",5.8,"t_15_20",60,"rabi","sandy_loam"
"maize","n_60_80","p_25_45","k_15_35",6.8,"t_15_20",60,"rabi","sandy_loam"
"maize","n_60_80","p_25_45","k_15_35",5.8,"t_20_25",60,"rabi","sandy_loam"
"maize","n_60_80","p_25_45","k_15_35",6.8,"t_20_25",60,"rabi","sandy_loam"
"maize","n_60_80","p_25_45","k_15_35",5.8,"t_25_30",60,"rabi","sandy_loam"
"maize","n_60_80","p_25_45","k_15_35",6.8,"t_25_30",60,"rabi","sandy_loam"
"maize","n_60_80","p_25_45","k_15_35",5.8,"t_15_20",110,"rabi","sandy_loam"
"maize","n_60_80","p_25_45","k_15_35",6.8,"t_15_20",110,"rabi","sandy_loam"
"maize","n_60_80","p_25_45","k_15_35",5.8,"t_20_25",110,"rabi","sandy_loam"
"maize","n_60_80","p_25_45","k_15_35",6.8,"t_20_25",110,"rabi","sandy_loam"
"maize","n_60_80","p_25_45","k_15_35",5.8,"t_25_30",110,"rabi","sandy_loam"
"maize","n_60_80","p_25_45","k_15_35",6.8,"t_25_30",110,"rabi","sandy_loam"
"ragi","n_30_50","p_25_45","k_15_35",4.5,"t_25_30",60,"kharif","loamy"
"ragi","n_30_50","p_25_45","k_15_35",7.5,"t_25_30",60,"kharif","loamy"
"ragi","n_30_50","p_25_45","k_15_35",4.5,"t_25_30",75,"kharif","loamy"
"ragi","n_30_50","p_25_45","k_15_35",7.5,"t_25_30",75,"kharif","loamy"
"ragi","n_30_50","p_25_45","k_15_35",4.5,"t_25_30",60,"kharif","sandy_loam"
"ragi","n_30_50","p_25_45","k_15_35",7.5,"t_25_30",60,"kharif","sandy_loam"
"ragi","n_30_50","p_25_45","k_15_35",4.5,"t_25_30",75,"kharif","sandy_loam"
"ragi","n_30_50","p_25_45","k_15_35",7.5,"t_25_30",75,"kharif","sandy_loam"
"ragi","n_30_50","p_25_45","k_15_35",4.5,"t_25_30",60,"kharif","red_loam"
"ragi","n_30_50","p_25_45","k_15_35",7.5,"t_25_30",60,"kharif","red_loam"
"ragi","n_30_50","p_25_45","k_15_35",4.5,"t_25_30",75,"kharif","red_loam"
"ragi","n_30_50","p_25_45","k_15_35",7.5,"t_25_30",75,"kharif","red_loam"
"chickpea","n_30_50","p_55_75","k_75_95",5.5,"t_20_25",67,"rabi","loam"
"chickpea","n_30_50","p_55_75","k_75_95",7,"t_20_25",67,"rabi","loam"
"chickpea","n_30_50","p_55_75","k_75_95",5.5,"t_25_30",67,"rabi","loam"
"chickpea","n_30_50","p_55_75","k_75_95",7,"t_25_30",67,"rabi","loam"
"chickpea","n_30_50","p_55_75","k_75_95",5.5,"t_20_25",95,"rabi","loam"
"chickpea","n_30_50","p_55_75","k_75_95",7,"t_20_25",95,"rabi","loam"
"chickpea","n_30_50","p_55_75","k_75_95",5.5,"t_25_30",95,"rabi","loam"
"chickpea","n_30_50","p_55_75","k_75_95",7,"t_25_30",95,"rabi","loam"
"chickpea","n_30_50","p_55_75","k_75_95",5.5,"t_20_25",67,"rabi","clay_loam"
"chickpea","n_30_50","p_55_75","k_75_95",7,"t_20_25",67,"rabi","clay_loam"
"chickpea","n_30_50","p_55_75","k_75_95",5.5,"t_25_30",67,"rabi","clay_loam"
"chickpea","n_30_50","p_55_75","k_75_95",7,"t_25_30",67,"rabi","clay_loam"
"chickpea","n_30_50","p_55_75","k_75_95",5.5,"t_20_25",95,"rabi","clay_loam"
"chickpea","n_30_50","p_55_75","k_75_95",7,"t_20_25",95,"rabi","clay_loam"
"chickpea","n_30_50","p_55_75","k_75_95",5.5,"t_25_30",95,"rabi","clay_loam"
"chickpea","n_30_50","p_55_75","k_75_95",7,"t_25_30",95,"rabi","clay_loam"
"green_beans","n_30_50","p_55_75","k_35_55",5.5,"t_10_15",90,"kharif","sandy"
"green_beans","n_30_50","p_55_75","k_35_55",6,"t_10_15",90,"kharif","sandy"
"green_beans","n_30_50","p_55_75","k_35_55",5.5,"t_15_20",90,"kharif","sandy"
"green_beans","n_30_50","p_55_75","k_35_55",6,"t_15_20",90,"kharif","sandy"
"green_beans","n_30_50","p_55_75","k_35_55",5.5,"t_20_25",90,"kharif","sandy"
"green_beans","n_30_50","p_55_75","k_35_55",6,"t_20_25",90,"kharif","sandy"
"green_beans","n_30_50","p_55_75","k_35_55",5.5,"t_25_30",90,"kharif","sandy"
"green_beans","n_30_50","p_55_75","k_35_55",6,"t_25_30",90,"kharif","sandy"
"green_beans","n_30_50","p_55_75","k_35_55",5.5,"t_10_15",120,"kharif","sandy"
"green_beans","n_30_50","p_55_75","k_35_55",6,"t_10_15",120,"kharif","sandy"
"green_beans","n_30_50","p_55_75","k_35_55",5.5,"t_15_20",120,"kharif","sandy"
"green_beans","n_30_50","p_55_75","k_35_55",6,"t_15_20",120,"kharif","sandy"
"green_beans","n_30_50","p_55_75","k_35_55",5.5,"t_20_25",120,"kharif","sandy"
"green_beans","n_30_50","p_55_75","k_35_55",6,"t_20_25",120,"kharif","sandy"
"green_beans","n_30_50","p_55_75","k_35_55",5.5,"t_25_30",120,"kharif","sandy"
"green_beans","n_30_50","p_55_75","k_35_55",6,"t_25_30",120,"kharif","sandy"
"green_beans","n_30_50","p_55_75","k_35_55",5.5,"t_10_15",90,"kharif","loam"
"green_beans","n_30_50","p_55_75","k_35_55",6,"t_10_15",90,"kharif","loam"
"green_beans","n_30_50","p_55_75","k_35_55",5.5,"t_15_20",90,"kharif","loam"
"green_beans","n_30_50","p_55_75","k_35_55",6,"t_15_20",90,"kharif","loam"
"green_beans","n_30_50","p_55_75","k_35_55",5.5,"t_20_25",90,"kharif","loam"
"green_beans","n_30_50","p_55_75","k_35_55",6,"t_20_25",90,"kharif","loam"
"green_beans","n_30_50","p_55_75","k_35_55",5.5,"t_25_30",90,"kharif","loam"
"green_beans","n_30_50","p_55_75","k_35_55",6,"t_25_30",90,"kharif","loam"
"green_beans","n_30_50","p_55_75","k_35_55",5.5,"t_10_15",120,"kharif","loam"
"green_beans","n_30_50","p_55_75","k_35_55",6,"t_10_15",120,"kharif","loam"
"green_beans","n_30_50","p_55_75","k_35_55",5.5,"t_15_20",120,"kharif","loam"
"green_beans","n_30_50","p_55_75","k_35_55",6,"t_15_20",120,"kharif","loam"
"green_beans","n_30_50","p_55_75","k_35_55",5.5,"t_20_25",120,"kharif","loam"
"green_beans","n_30_50","p_55_75","k_35_55",6,"t_20_25",120,"kharif","loam"
"green_beans","n_30_50","p_55_75","k_35_55",5.5,"t_25_30",120,"kharif","loam"
"green_beans","n_30_50","p_55_75","k_35_55",6,"t_25_30",120,"kharif","loam"
"fava_bean","n_90_110","p_115_135","k_55_75",6.2,"t_15_20",35,"rabi","clay"
"fava_bean","n_90_110","p_115_135","k_55_75",6.8,"t_15_20",35,"rabi","clay"
"fava_bean","n_90_110","p_115_135","k_55_75",6.2,"t_15_20",40,"rabi","clay"
"fava_bean","n_90_110","p_115_135","k_55_75",6.8,"t_15_20",40,"rabi","clay"
"fava_bean","n_90_110","p_115_135","k_55_75",6.2,"t_15_20",35,"rabi","loam"
"fava_bean","n_90_110","p_115_135","k_55_75",6.8,"t_15_20",35,"rabi","loam"
"fava_bean","n_90_110","p_115_135","k_55_75",6.2,"t_15_20",40,"rabi","loam"
"fava_bean","n_90_110","p_115_135","k_55_75",6.8,"t_15_20",40,"rabi","loam"
"lima_bean","n_30_50","p_55_75","k_15_35",6,"t_15_20",90,"kharif","loam"
"lima_bean","n_30_50","p_55_75","k_15_35",7,"t_15_20",90,"kharif","loam"
"lima_bean","n_30_50","p_55_75","k_15_35",6,"t_15_20",150,"kharif","loam"
"lima_bean","n_30_50","p_55_75","k_15_35",7,"t_15_20",150,"kharif","loam"
"guar","n_10_30","p_40_60","k_15_35",7,"t_25_30",25,"kharif","loam"
"guar","n_10_30","p_40_60","k_15_35",8,"t_25_30",25,"kharif","loam"
"guar","n_10_30","p_40_60","k_15_35",7,"t_25_30",100,"kharif","loam"
"guar","n_10_30","p_40_60","k_15_35",8,"t_25_30",100,"kharif","loam"
"guar","n_10_30","p_40_60","k_15_35",7,"t_25_30",25,"kharif","sandy_loam"
"guar","n_10_30","p_40_60","k_15_35",8,"t_25_30",25,"kharif","sandy_loam"
"guar","n_10_30","p_40_60","k_15_35",7,"t_25_30",100,"kharif","sandy_loam"
"guar","n_10_30","p_40_60","k_15_35",8,"t_25_30",100,"kharif","sandy_loam"
"soybean","n_10_30","p_55_75","k_15_35",6,"t_25_30",60,"kharif","sandy_loam"
"soybean","n_10_30","p_55_75","k_15_35",7.5,"t_25_30",60,"kharif","sandy_loam"
"soybean","n_10_30","p_55_75","k_15_35",6,"t_25_30",65,"kharif","sandy_loam"
"soybean","n_10_30","p_55_75","k_15_35",7.5,"t_25_30",65,"kharif","sandy_loam"
"peanut_groundnut","n_10_30","p_10_30","k_5_15",5.5,"t_20_25",60,"kharif","sandy_loam"
"peanut_groundnut","n_10_30","p_10_30","k_5_15",7,"t_20_25",60,"kharif","sandy_loam"
"peanut_groundnut","n_10_30","p_10_30","k_5_15",5.5,"t_20_25",150,"kharif","sandy_loam"
"peanut_groundnut","n_10_30","p_10_30","k_5_15",7,"t_20_25",150,"kharif","sandy_loam"
"peanut_groundnut","n_10_30","p_10_30","k_5_15",5.5,"t_20_25",60,"kharif","sandy_clay_loam"
"peanut_groundnut","n_10_30","p_10_30","k_5_15",7,"t_20_25",60,"kharif","sandy_clay_loam"
"peanut_groundnut","n_10_30","p_10_30","k_5_15",5.5,"t_20_25",150,"kharif","sandy_clay_loam"
"peanut_groundnut","n_10_30","p_10_30","k_5_15",7,"t_20_25",150,"kharif","sandy_clay_loam"
"black_eyed_pea","n_10_30","p_55_75","k_15_35",6,"t_20_25",40,"kharif","loam"
"black_eyed_pea","n_10_30","p_55_75","k_15_35",7.5,"t_20_25",40,"kharif","loam"
"black_eyed_pea","n_10_30","p_55_75","k_15_35",6,"t_25_30",40,"kharif","loam"
"black_eyed_pea","n_10_30","p_55_75","k_15_35",7.5,"t_25_30",40,"kharif","loam"
"black_eyed_pea","n_10_30","p_55_75","k_15_35",6,"t_20_25",70,"kharif","loam"
"black_eyed_pea","n_10_30","p_55_75","k_15_35",7.5,"t_20_25",70,"kharif","loam"
"black_eyed_pea","n_10_30","p_55_75","k_15_35",6,"t_25_30",70,"kharif","loam"
"black_eyed_pea","n_10_30","p_55_75","k_15_35",7.5,"t_25_30",70,"kharif","loam"
"kidney_bean","n_10_30","p_55_75","k_15_35",5.5,"t_15_20",60,"kharif","loam"
"kidney_bean","n_10_30","p_55_75","k_15_35",6,"t_15_20",60,"kharif","loam"
"kidney_bean","n_10_30","p_55_75","k_15_35",5.5,"t_20_25",60,"kharif","loam"
"kidney_bean","n_10_30","p_55_75","k_15_35",6,"t_20_25",60,"kharif","loam"
"kidney_bean","n_10_30","p_55_75","k_15_35",5.5,"t_15_20",150,"kharif","loam"
"kidney_bean","n_10_30","p_55_75","k_15_35",6,"t_15_20",150,"kharif","loam"
"kidney_bean","n_10_30","p_55_75","k_15_35",5.5,"t_20_25",150,"kharif","loam"
"kidney_bean","n_10_30","p_55_75","k_15_35",6,"t_20_25",150,"kharif","loam"
"pigeon_peas_toor_dal","n_10_30","p_55_75","k_15_35",6.5,"t_25_30",60,"rabi","loam"
"pigeon_peas_toor_dal","n_10_30","p_55_75","k_15_35",7.5,"t_25_30",60,"rabi","loam"
"pigeon_peas_toor_dal","n_10_30","p_55_75","k_15_35",6.5,"t_30_35",60,"rabi","loam"
"pigeon_peas_toor_dal","n_10_30","p_55_75","k_15_35",7.5,"t_30_35",60,"rabi","loam"
"pigeon_peas_toor_dal","n_10_30","p_55_75","k_15_35",6.5,"t_25_30",65,"rabi","loam"
"pigeon_peas_toor_dal","n_10_30","p_55_75","k_15_35",7.5,"t_25_30",65,"rabi","loam"
"pigeon_peas_toor_dal","n_10_30","p_55_75","k_15_35",6.5,"t_30_35",65,"rabi","loam"
"pigeon_peas_toor_dal","n_10_30","p_55_75","k_15_35",7.5,"t_30_35",65,"rabi","loam"
"pigeon_peas_toor_dal","n_10_30","p_55_75","k_15_35",6.5,"t_25_30",60,"rabi","sandy_loam"
"pigeon_peas_toor_dal","n_10_30","p_55_75","k_15_35",7.5,"t_25_30",60,"rabi","sandy_loam"
"pigeon_peas_toor_dal","n_10_30","p_55_75","k_15_35",6.5,"t_30_35",60,"rabi","sandy_loam"
"pigeon_peas_toor_dal","n_10_30","p_55_75","k_15_35",7.5,"t_30_35",60,"rabi","sandy_loam"
"pigeon_peas_toor_dal","n_10_30","p_55_75","k_15_35",6.5,"t_25_30",65,"rabi","sandy_loam"
"pigeon_peas_toor_dal","n_10_30","p_55_75","k_15_35",7.5,"t_25_30",65,"rabi","sandy_loam"
"pigeon_peas_toor_dal","n_10_30","p_55_75","k_15_35",6.5,"t_30_35",65,"rabi","sandy_loam"
"pigeon_peas_toor_dal","n_10_30","p_55_75","k_15_35",7.5,"t_30_35",65,"rabi","sandy_loam"
"pigeon_peas_toor_dal","n_10_30","p_55_75","k_15_35",6.5,"t_25_30",60,"rabi","clay_loam"
"pigeon_peas_toor_dal","n_10_30","p_55_75","k_15_35",7.5,"t_25_30",60,"rabi","clay_loam"
"pigeon_peas_toor_dal","n_10_30","p_55_75","k_15_35",6.5,"t_30_35",60,"rabi","clay_loam"
