"crops","nitrogen","phosphorus","potassium","ph","temperature","annual_rainfall","season","soil_type"
"barley","60 - 80","30 - 50","35 - 55",6,"15 - 20",43,"rabi","clay"
"barley","60 - 80","30 - 50","35 - 55",7.5,"15 - 20",43,"rabi","clay"
"barley","60 - 80","30 - 50","35 - 55",6,"20 - 25",43,"rabi","clay"
"barley","60 - 80","30 - 50","35 - 55",7.5,"20 - 25",43,"rabi","clay"
"barley","60 - 80","30 - 50","35 - 55",6,"10 - 15",39,"rabi","sandy loam"
"barley","60 - 80","30 - 50","35 - 55",7.5,"10 - 15",39,"rabi","sandy loam"
"barley","60 - 80","30 - 50","35 - 55",6,"15 - 20",39,"rabi","sandy loam"
"barley","60 - 80","30 - 50","35 - 55",7.5,"15 - 20",39,"rabi","sandy loam"
"barley","60 - 80","30 - 50","35 - 55",6,"20 - 25",39,"rabi","sandy loam"
"barley","60 - 80","30 - 50","35 - 55",7.5,"20 - 25",39,"rabi","sandy loam"
"barley","60 - 80","30 - 50","35 - 55",6,"10 - 15",43,"rabi","sandy loam"
"barley","60 - 80","30 - 50","35 - 55",7.5,"10 - 15",43,"rabi","sandy loam"
"barley","60 - 80","30 - 50","35 - 55",6,"15 - 20",43,"rabi","sandy loam"
"barley","60 - 80","30 - 50","35 - 55",7.5,"15 - 20",43,"rabi","sandy loam"
"barley","60 - 80","30 - 50","35 - 55",6,"20 - 25",43,"rabi","sandy loam"
"barley","60 - 80","30 - 50","35 - 55",7.5,"20 - 25",43,"rabi","sandy loam"
"bajra","80 - 100","20 - 40","0 - 15",4,"40 - 45",40,"kharif","sandy"
"bajra","80 - 100","20 - 40","0 - 15",5.5,"40 - 45",40,"kharif","sandy"
"bajra","80 - 100","20 - 40","0 - 15",4,"45 - 50",40,"kharif","sandy"
"bajra","80 - 100","20 - 40","0 - 15",5.5,"45 - 50",40,"kharif","sandy"
"bajra","80 - 100","20 - 40","0 - 15",4,"50 - 55",40,"kharif","sandy"
"bajra","80 - 100","20 - 40","0 - 15",5.5,"50 - 55",40,"kharif","sandy"
"bajra","80 - 100","20 - 40","0 - 15",4,"55 - 60",40,"kharif","sandy"
"bajra","80 - 100","20 - 40","0 - 15",5.5,"55 - 60",40,"kharif","sandy"
"bajra","80 - 100","20 - 40","0 - 15",4,"40 - 45",45,"kharif","sandy"
"bajra","80 - 100","20 - 40","0 - 15",5.5,"40 - 45",45,"kharif","sandy"
"bajra","80 - 100","20 - 40","0 - 15",4,"45 - 50",45,"kharif","sandy"
"bajra","80 - 100","20 - 40","0 - 15",5.5,"45 - 50",45,"kharif","sandy"
"bajra","80 - 100","20 - 40","0 - 15",4,"50 - 55",45,"kharif","sandy"
"bajra","80 - 100","20 - 40","0 - 15",5.5,"50 - 55",45,"kharif","sandy"
"bajra","80 - 100","20 - 40","0 - 15",4,"55 - 60",45,"kharif","sandy"
"bajra","80 - 100","20 - 40","0 - 15",5.5,"55 - 60",45,"kharif","sandy"
"bajra","80 - 100","20 - 40","0 - 15",4,"40 - 45",40,"kharif","black"
"bajra","80 - 100","20 - 40","0 - 15",5.5,"40 - 45",40,"kharif","black"
"bajra","80 - 100","20 - 40","0 - 15",4,"45 - 50",40,"kharif","black"
"bajra","80 - 100","20 - 40","0 - 15",5.5,"45 - 50",40,"kharif","black"
"bajra","80 - 100","20 - 40","0 - 15",4,"50 - 55",40,"kharif","black"
"bajra","80 - 100","20 - 40","0 - 15",5.5,"50 - 55",40,"kharif","black"
"bajra","80 - 100","20 - 40","0 - 15",4,"55 - 60",40,"kharif","black"
"bajra","80 - 100","20 - 40","0 - 15",5.5,"55 - 60",40,"kharif","black"
"bajra","80 - 100","20 - 40","0 - 15",4,"40 - 45",45,"kharif","black"
"bajra","80 - 100","20 - 40","0 - 15",5.5,"40 - 45",45,"kharif","black"
"bajra","80 - 100","20 - 40","0 - 15",4,"45 - 50",45,"kharif","black"
"bajra","80 - 100","20 - 40","0 - 15",5.5,"45 - 50",45,"kharif","black"
"bajra","80 - 100","20 - 40","0 - 15",4,"50 - 55",45,"kharif","black"
"bajra","80 - 100","20 - 40","0 - 15",5.5,"50 - 55",45,"kharif","black"
"bajra","80 - 100","20 - 40","0 - 15",4,"55 - 60",45,"kharif","black"
"bajra","80 - 100","20 - 40","0 - 15",5.5,"55 - 60",45,"kharif","black"
"bajra","80 - 100","20 - 40","0 - 15",4,"40 - 45",40,"kharif","red"
"bajra","80 - 100","20 - 40","0 - 15",5.5,"40 - 45",40,"kharif","red"
"bajra","80 - 100","20 - 40","0 - 15",4,"45 - 50",40,"kharif","red"
"bajra","80 - 100","20 - 40","0 - 15",5.5,"45 - 50",40,"kharif","red"
"bajra","80 - 100","20 - 40","0 - 15",4,"50 - 55",40,"kharif","red"
"bajra","80 - 100","20 - 40","0 - 15",5.5,"50 - 55",40,"kharif","red"
"bajra","80 - 100","20 - 40","0 - 15",4,"55 - 60",40,"kharif","red"
"bajra","80 - 100","20 - 40","0 - 15",5.5,"55 - 60",40,"kharif","red"
"bajra","80 - 100","20 - 40","0 - 15",4,"40 - 45",45,"kharif","red"
"bajra","80 - 100","20 - 40","0 - 15",5.5,"40 - 45",45,"kharif","red"
"bajra","80 - 100","20 - 40","0 - 15",4,"45 - 50",45,"kharif","red"
"bajra","80 - 100","20 - 40","0 - 15",5.5,"45 - 50",45,"kharif","red"
"bajra","80 - 100","20 - 40","0 - 15",4,"50 - 55",45,"kharif","red"
"bajra","80 - 100","20 - 40","0 - 15",5.5,"50 - 55",45,"kharif","red"
"bajra","80 - 100","20 - 40","0 - 15",4,"55 - 60",45,"kharif","red"
"bajra","80 - 100","20 - 40","0 - 15",5.5,"55 - 60",45,"kharif","red"
"bajra","80 - 100","20 - 40","0 - 15",4,"40 - 45",40,"kharif","gravely"
"bajra","80 - 100","20 - 40","0 - 15",5.5,"40 - 45",40,"kharif","gravely"
"bajra","80 - 100","20 - 40","0 - 15",4,"45 - 50",40,"kharif","gravely"
"bajra","80 - 100","20 - 40","0 - 15",5.5,"45 - 50",40,"kharif","gravely"
"bajra","80 - 100","20 - 40","0 - 15",4,"50 - 55",40,"kharif","gravely"
"bajra","80 - 100","20 - 40","0 - 15",5.5,"50 - 55",40,"kharif","gravely"
"bajra","80 - 100","20 - 40","0 - 15",4,"55 - 60",40,"kharif","gravely"
"bajra","80 - 100","20 - 40","0 - 15",5.5,"55 - 60",40,"kharif","gravely"
"bajra","80 - 100","20 - 40","0 - 15",4,"40 - 45",45,"kharif","gravely"
"bajra","80 - 100","20 - 40","0 - 15",5.5,"40 - 45",45,"kharif","gravely"
"bajra","80 - 100","20 - 40","0 - 15",4,"45 - 50",45,"kharif","gravely"
"bajra","80 - 100","20 - 40","0 - 15",5.5,"45 - 50",45,"kharif","gravely"
"bajra","80 - 100","20 - 40","0 - 15",4,"50 - 55",45,"kharif","gravely"
"bajra","80 - 100","20 - 40","0 - 15",5.5,"50 - 55",45,"kharif","gravely"
"bajra","80 - 100","20 - 40","0 - 15",4,"55 - 60",45,"kharif","gravely"
"bajra","80 - 100","20 - 40","0 - 15",5.5,"55 - 60",45,"kharif","gravely"
"maize","70 - 90","30 - 50","10 - 30",5.8,"15 - 20",60,"rabi","sandy loam"
"maize","70 - 90","30 - 50","10 - 30",6.8,"15 - 20",60,"rabi","sandy loam"
"maize","70 - 90","30 - 50","10 - 30",5.8,"20 - 25",60,"rabi","sandy loam"
"maize","70 - 90","30 - 50","10 - 30",6.8,"20 - 25",60,"rabi","sandy loam"
"maize","70 - 90","30 - 50","10 - 30",5.8,"25 - 30",60,"rabi","sandy loam"
"maize","70 - 90","30 - 50","10 - 30",6.8,"25 - 30",60,"rabi","sandy loam"
"maize","70 - 90","30 - 50","10 - 30",5.8,"15 - 20",110,"rabi","sandy loam"
"maize","70 - 90","30 - 50","10 - 30",6.8,"15 - 20",110,"rabi","sandy loam"
"maize","70 - 90","30 - 50","10 - 30",5.8,"20 - 25",110,"rabi","sandy loam"
"maize","70 - 90","30 - 50","10 - 30",6.8,"20 - 25",110,"rabi","sandy loam"
"maize","70 - 90","30 - 50","10 - 30",5.8,"25 - 30",110,"rabi","sandy loam"
"maize","70 - 90","30 - 50","10 - 30",6.8,"25 - 30",110,"rabi","sandy loam"
"ragi","40 - 60","30 - 50","10 - 30",4.5,"25 - 30",60,"kharif","loamy"
"ragi","40 - 60","30 - 50","10 - 30",7.5,"25 - 30",60,"kharif","loamy"
"ragi","40 - 60","30 - 50","10 - 30",4.5,"25 - 30",75,"kharif","loamy"
"ragi","40 - 60","30 - 50","10 - 30",7.5,"25 - 30",75,"kharif","loamy"
"ragi","40 - 60","30 - 50","10 - 30",4.5,"25 - 30",60,"kharif","sandy loam"
"ragi","40 - 60","30 - 50","10 - 30",7.5,"25 - 30",60,"kharif","sandy loam"
"ragi","40 - 60","30 - 50","10 - 30",4.5,"25 - 30",75,"kharif","sandy loam"
"ragi","40 - 60","30 - 50","10 - 30",7.5,"25 - 30",75,"kharif","sandy loam"
"ragi","40 - 60","30 - 50","10 - 30",4.5,"25 - 30",60,"kharif","red loam"
"ragi","40 - 60","30 - 50","10 - 30",7.5,"25 - 30",60,"kharif","red loam"
"ragi","40 - 60","30 - 50","10 - 30",4.5,"25 - 30",75,"kharif","red loam"
"ragi","40 - 60","30 - 50","10 - 30",7.5,"25 - 30",75,"kharif","red loam"
"chickpea","30 - 50","50 - 70","70 - 90",5.5,"20 - 25",67,"rabi","loam"
"chickpea","30 - 50","50 - 70","70 - 90",7,"20 - 25",67,"rabi","loam"
"chickpea","30 - 50","50 - 70","70 - 90",5.5,"25 - 30",67,"rabi","loam"
"chickpea","30 - 50","50 - 70","70 - 90",7,"25 - 30",67,"rabi","loam"
"chickpea","30 - 50","50 - 70","70 - 90",5.5,"20 - 25",95,"rabi","loam"
"chickpea","30 - 50","50 - 70","70 - 90",7,"20 - 25",95,"rabi","loam"
"chickpea","30 - 50","50 - 70","70 - 90",5.5,"25 - 30",95,"rabi","loam"
"chickpea","30 - 50","50 - 70","70 - 90",7,"25 - 30",95,"rabi","loam"
"chickpea","30 - 50","50 - 70","70 - 90",5.5,"20 - 25",67,"rabi","clay loam"
"chickpea","30 - 50","50 - 70","70 - 90",7,"20 - 25",67,"rabi","clay loam"
"chickpea","30 - 50","50 - 70","70 - 90",5.5,"25 - 30",67,"rabi","clay loam"
"chickpea","30 - 50","50 - 70","70 - 90",7,"25 - 30",67,"rabi","clay loam"
"chickpea","30 - 50","50 - 70","70 - 90",5.5,"20 - 25",95,"rabi","clay loam"
"chickpea","30 - 50","50 - 70","70 - 90",7,"20 - 25",95,"rabi","clay loam"
"chickpea","30 - 50","50 - 70","70 - 90",5.5,"25 - 30",95,"rabi","clay loam"
"chickpea","30 - 50","50 - 70","70 - 90",7,"25 - 30",95,"rabi","clay loam"
"Green beans","30 - 50","60 - 80","40 - 60",5.5,"10 - 15",90,"kharif","sandy"
"Green beans","30 - 50","60 - 80","40 - 60",6,"10 - 15",90,"kharif","sandy"
"Green beans","30 - 50","60 - 80","40 - 60",5.5,"15 - 20",90,"kharif","sandy"
"Green beans","30 - 50","60 - 80","40 - 60",6,"15 - 20",90,"kharif","sandy"
"Green beans","30 - 50","60 - 80","40 - 60",5.5,"20 - 25",90,"kharif","sandy"
"Green beans","30 - 50","60 - 80","40 - 60",6,"20 - 25",90,"kharif","sandy"
"Green beans","30 - 50","60 - 80","40 - 60",5.5,"25 - 30",90,"kharif","sandy"
"Green beans","30 - 50","60 - 80","40 - 60",6,"25 - 30",90,"kharif","sandy"
"Green beans","30 - 50","60 - 80","40 - 60",5.5,"10 - 15",120,"kharif","sandy"
"Green beans","30 - 50","60 - 80","40 - 60",6,"10 - 15",120,"kharif","sandy"
"Green beans","30 - 50","60 - 80","40 - 60",5.5,"15 - 20",120,"kharif","sandy"
"Green beans","30 - 50","60 - 80","40 - 60",6,"15 - 20",120,"kharif","sandy"
"Green beans","30 - 50","60 - 80","40 - 60",5.5,"20 - 25",120,"kharif","sandy"
"Green beans","30 - 50","60 - 80","40 - 60",6,"20 - 25",120,"kharif","sandy"
"Green beans","30 - 50","60 - 80","40 - 60",5.5,"25 - 30",120,"kharif","sandy"
"Green beans","30 - 50","60 - 80","40 - 60",6,"25 - 30",120,"kharif","sandy"
"Green beans","30 - 50","60 - 80","40 - 60",5.5,"10 - 15",90,"kharif","loam"
"Green beans","30 - 50","60 - 80","40 - 60",6,"10 - 15",90,"kharif","loam"
"Green beans","30 - 50","60 - 80","40 - 60",5.5,"15 - 20",90,"kharif","loam"
"Green beans","30 - 50","60 - 80","40 - 60",6,"15 - 20",90,"kharif","loam"
"Green beans","30 - 50","60 - 80","40 - 60",5.5,"20 - 25",90,"kharif","loam"
"Green beans","30 - 50","60 - 80","40 - 60",6,"20 - 25",90,"kharif","loam"
"Green beans","30 - 50","60 - 80","40 - 60",5.5,"25 - 30",90,"kharif","loam"
"Green beans","30 - 50","60 - 80","40 - 60",6,"25 - 30",90,"kharif","loam"
"Green beans","30 - 50","60 - 80","40 - 60",5.5,"10 - 15",120,"kharif","loam"
"Green beans","30 - 50","60 - 80","40 - 60",6,"10 - 15",120,"kharif","loam"
"Green beans","30 - 50","60 - 80","40 - 60",5.5,"15 - 20",120,"kharif","loam"
"Green beans","30 - 50","60 - 80","40 - 60",6,"15 - 20",120,"kharif","loam"
"Green beans","30 - 50","60 - 80","40 - 60",5.5,"20 - 25",120,"kharif","loam"
"Green beans","30 - 50","60 - 80","40 - 60",6,"20 - 25",120,"kharif","loam"
"Green beans","30 - 50","60 - 80","40 - 60",5.5,"25 - 30",120,"kharif","loam"
"Green beans","30 - 50","60 - 80","40 - 60",6,"25 - 30",120,"kharif","loam"
"Fava Bean","80 - 100","115 - 135","50 - 70",6.2,"15 - 20",35,"rabi","clay"
"Fava Bean","80 - 100","115 - 135","50 - 70",6.8,"15 - 20",35,"rabi","clay"
"Fava Bean","80 - 100","115 - 135","50 - 70",6.2,"15 - 20",40,"rabi","clay"
"Fava Bean","80 - 100","115 - 135","50 - 70",6.8,"15 - 20",40,"rabi","clay"
"Fava Bean","80 - 100","115 - 135","50 - 70",6.2,"15 - 20",35,"rabi","loam"
"Fava Bean","80 - 100","115 - 135","50 - 70",6.8,"15 - 20",35,"rabi","loam"
"Fava Bean","80 - 100","115 - 135","50 - 70",6.2,"15 - 20",40,"rabi","loam"
"Fava Bean","80 - 100","115 - 135","50 - 70",6.8,"15 - 20",40,"rabi","loam"
"Lima Bean","30 - 50","50 - 70","10 - 30",6,"15 - 20",90,"kharif","loam"
"Lima Bean","30 - 50","50 - 70","10 - 30",7,"15 - 20",90,"kharif","loam"
"Lima Bean","30 - 50","50 - 70","10 - 30",6,"15 - 20",150,"kharif","loam"
"Lima Bean","30 - 50","50 - 70","10 - 30",7,"15 - 20",150,"kharif","loam"
"Guar","15 - 35","40 - 60","15 - 35",7,"25 - 30",25,"kharif","loam"
"Guar","15 - 35","40 - 60","15 - 35",8,"25 - 30",25,"kharif","loam"
"Guar","15 - 35","40 - 60","15 - 35",7,"25 - 30",100,"kharif","loam"
"Guar","15 - 35","40 - 60","15 - 35",8,"25 - 30",100,"kharif","loam"
"Guar","15 - 35","40 - 60","15 - 35",7,"25 - 30",25,"kharif","sandy loam"
"Guar","15 - 35","40 - 60","15 - 35",8,"25 - 30",25,"kharif","sandy loam"
"Guar","15 - 35","40 - 60","15 - 35",7,"25 - 30",100,"kharif","sandy loam"
"Guar","15 - 35","40 - 60","15 - 35",8,"25 - 30",100,"kharif","sandy loam"
"Soybean","10 - 30","50 - 70","10 - 30",6,"25 - 30",60,"kharif","sandy loam"
"Soybean","10 - 30","50 - 70","10 - 30",7.5,"25 - 30",60,"kharif","sandy loam"
"Soybean","10 - 30","50 - 70","10 - 30",6,"25 - 30",65,"kharif","sandy loam"
"Soybean","10 - 30","50 - 70","10 - 30",7.5,"25 - 30",65,"kharif","sandy loam"
"Peanut (Groundnut)","5 - 25","15 - 35","0 - 15",5.5,"20 - 25",60,"kharif","sandy loam"
"Peanut (Groundnut)","5 - 25","15 - 35","0 - 15",7,"20 - 25",60,"kharif","sandy loam"
"Peanut (Groundnut)","5 - 25","15 - 35","0 - 15",5.5,"20 - 25",150,"kharif","sandy loam"
"Peanut (Groundnut)","5 - 25","15 - 35","0 - 15",7,"20 - 25",150,"kharif","sandy loam"
"Peanut (Groundnut)","5 - 25","15 - 35","0 - 15",5.5,"20 - 25",60,"kharif","sandy clay loam"
"Peanut (Groundnut)","5 - 25","15 - 35","0 - 15",7,"20 - 25",60,"kharif","sandy clay loam"
"Peanut (Groundnut)","5 - 25","15 - 35","0 - 15",5.5,"20 - 25",150,"kharif","sandy clay loam"
"Peanut (Groundnut)","5 - 25","15 - 35","0 - 15",7,"20 - 25",150,"kharif","sandy clay loam"
"Black-eyed pea","10 - 30","50 - 70","10 - 30",6,"20 - 25",40,"kharif","loam"
"Black-eyed pea","10 - 30","50 - 70","10 - 30",7.5,"20 - 25",40,"kharif","loam"
"Black-eyed pea","10 - 30","50 - 70","10 - 30",6,"25 - 30",40,"kharif","loam"
"Black-eyed pea","10 - 30","50 - 70","10 - 30",7.5,"25 - 30",40,"kharif","loam"
"Black-eyed pea","10 - 30","50 - 70","10 - 30",6,"20 - 25",70,"kharif","loam"
"Black-eyed pea","10 - 30","50 - 70","10 - 30",7.5,"20 - 25",70,"kharif","loam"
"Black-eyed pea","10 - 30","50 - 70","10 - 30",6,"25 - 30",70,"kharif","loam"
"Black-eyed pea","10 - 30","50 - 70","10 - 30",7.5,"25 - 30",70,"kharif","loam"
"kidney Bean","10 - 30","50 - 70","10 - 30",5.5,"15 - 20",60,"kharif","loam"
"kidney Bean","10 - 30","50 - 70","10 - 30",6,"15 - 20",60,"kharif","loam"
"kidney Bean","10 - 30","50 - 70","10 - 30",5.5,"20 - 25",60,"kharif","loam"
"kidney Bean","10 - 30","50 - 70","10 - 30",6,"20 - 25",60,"kharif","loam"
"kidney Bean","10 - 30","50 - 70","10 - 30",5.5,"15 - 20",150,"kharif","loam"
"kidney Bean","10 - 30","50 - 70","10 - 30",6,"15 - 20",150,"kharif","loam"
"kidney Bean","10 - 30","50 - 70","10 - 30",5.5,"20 - 25",150,"kharif","loam"
"kidney Bean","10 - 30","50 - 70","10 - 30",6,"20 - 25",150,"kharif","loam"
"Pigeon peas (Toor Dal)","10 - 30","50 - 70","10 - 30",6.5,"25 - 30",60,"rabi","loam"
"Pigeon peas (Toor Dal)","10 - 30","50 - 70","10 - 30",7.5,"25 - 30",60,"rabi","loam"
"Pigeon peas (Toor Dal)","10 - 30","50 - 70","10 - 30",6.5,"30 - 35",60,"rabi","loam"
"Pigeon peas (Toor Dal)","10 - 30","50 - 70","10 - 30",7.5,"30 - 35",60,"rabi","loam"
"Pigeon peas (Toor Dal)","10 - 30","50 - 70","10 - 30",6.5,"25 - 30",65,"rabi","loam"
"Pigeon peas (Toor Dal)","10 - 30","50 - 70","10 - 30",7.5,"25 - 30",65,"rabi","loam"
"Pigeon peas (Toor Dal)","10 - 30","50 - 70","10 - 30",6.5,"30 - 35",65,"rabi","loam"
"Pigeon peas (Toor Dal)","10 - 30","50 - 70","10 - 30",7.5,"30 - 35",65,"rabi","loam"
"Pigeon peas (Toor Dal)","10 - 30","50 - 70","10 - 30",6.5,"25 - 30",60,"rabi","sandy loam"
"Pigeon peas (Toor Dal)","10 - 30","50 - 70","10 - 30",7.5,"25 - 30",60,"rabi","sandy loam"
"Pigeon peas (Toor Dal)","10 - 30","50 - 70","10 - 30",6.5,"30 - 35",60,"rabi","sandy loam"
"Pigeon peas (Toor Dal)","10 - 30","50 - 70","10 - 30",7.5,"30 - 35",60,"rabi","sandy loam"
"Pigeon peas (Toor Dal)","10 - 30","50 - 70","10 - 30",6.5,"25 - 30",65,"rabi","sandy loam"
"Pigeon peas (Toor Dal)","10 - 30","50 - 70","10 - 30",7.5,"25 - 30",65,"rabi","sandy loam"
"Pigeon peas (Toor Dal)","10 - 30","50 - 70","10 - 30",6.5,"30 - 35",65,"rabi","sandy loam"
"Pigeon peas (Toor Dal)","10 - 30","50 - 70","10 - 30",7.5,"30 - 35",65,"rabi","sandy loam"
"Pigeon peas (Toor Dal)","10 - 30","50 - 70","10 - 30",6.5,"25 - 30",60,"rabi","clay loam"
"Pigeon peas (Toor Dal)","10 - 30","50 - 70","10 - 30",7.5,"25 - 30",60,"rabi","clay loam"
"Pigeon peas (Toor Dal)","10 - 30","50 - 70","10 - 30",6.5,"30 - 35",60,"rabi","clay loam"
