"crops","nitrogen","phosphorus","potassium","ph","temperature","annual_rainfall","clusters","season","soil_type.alluvial","soil_type.black","soil_type.clay","soil_type.clay_loam","soil_type.gravely","soil_type.laterite","soil_type.lateritic","soil_type.loam","soil_type.loamy","soil_type.red","soil_type.red_laterite","soil_type.red_loam","soil_type.red_loamy","soil_type.red_yellow","soil_type.sandy","soil_type.sandy_clay_loam","soil_type.sandy_loam"
"rice",70,30,50,5.5,20,175,"15",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rice",80,30,50,5.5,20,175,"15",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rice",90,30,50,5.5,20,175,"15",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rice",70,40,50,5.5,20,175,"15",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rice",80,40,50,5.5,20,175,"15",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rice",90,40,50,5.5,20,175,"15",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rice",70,50,50,5.5,20,175,"15",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rice",80,50,50,5.5,20,175,"15",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rice",90,50,50,5.5,20,175,"15",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rice",70,30,30,6.5,20,175,"15",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rice",80,30,30,6.5,20,175,"15",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rice",90,30,30,6.5,20,175,"15",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rice",70,40,30,6.5,20,175,"15",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rice",80,40,30,6.5,20,175,"15",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rice",90,40,30,6.5,20,175,"15",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rice",70,50,30,6.5,20,175,"15",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rice",80,50,30,6.5,20,175,"15",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rice",90,50,30,6.5,20,175,"15",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rice",70,30,40,6.5,20,175,"15",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rice",80,30,40,6.5,20,175,"15",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rice",90,30,40,6.5,20,175,"15",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rice",70,40,40,6.5,20,175,"15",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rice",80,40,40,6.5,20,175,"15",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rice",90,40,40,6.5,20,175,"15",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rice",70,50,40,6.5,20,175,"15",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rice",80,50,40,6.5,20,175,"15",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rice",90,50,40,6.5,20,175,"15",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rice",70,30,50,6.5,20,175,"15",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rice",80,30,50,6.5,20,175,"15",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rice",90,30,50,6.5,20,175,"15",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rice",70,40,50,6.5,20,175,"15",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rice",80,40,50,6.5,20,175,"15",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rice",90,40,50,6.5,20,175,"15",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rice",70,50,50,6.5,20,175,"15",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rice",80,50,50,6.5,20,175,"15",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rice",90,50,50,6.5,20,175,"15",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rice",70,30,30,5.5,27,175,"10",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rice",80,30,30,5.5,27,175,"10",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rice",90,30,30,5.5,27,175,"15",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rice",70,40,30,5.5,27,175,"15",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rice",80,40,30,5.5,27,175,"15",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rice",90,40,30,5.5,27,175,"15",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rice",70,50,30,5.5,27,175,"15",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rice",80,50,30,5.5,27,175,"15",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rice",90,50,30,5.5,27,175,"15",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rice",70,30,40,5.5,27,175,"10",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rice",80,30,40,5.5,27,175,"15",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rice",90,30,40,5.5,27,175,"15",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rice",70,40,40,5.5,27,175,"15",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rice",80,40,40,5.5,27,175,"15",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rice",90,40,40,5.5,27,175,"15",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rice",70,50,40,5.5,27,175,"15",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rice",80,50,40,5.5,27,175,"15",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rice",90,50,40,5.5,27,175,"15",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rice",70,30,50,5.5,27,175,"15",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rice",80,30,50,5.5,27,175,"15",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rice",90,30,50,5.5,27,175,"15",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rice",70,40,50,5.5,27,175,"15",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rice",80,40,50,5.5,27,175,"15",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rice",90,40,50,5.5,27,175,"15",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rice",70,50,50,5.5,27,175,"15",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rice",80,50,50,5.5,27,175,"15",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rice",90,50,50,5.5,27,175,"15",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rice",70,30,30,6.5,27,175,"15",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rice",80,30,30,6.5,27,175,"15",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rice",90,30,30,6.5,27,175,"15",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rice",70,40,30,6.5,27,175,"15",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rice",80,40,30,6.5,27,175,"15",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rice",90,40,30,6.5,27,175,"15",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rice",70,50,30,6.5,27,175,"15",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rice",80,50,30,6.5,27,175,"15",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rice",90,50,30,6.5,27,175,"15",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rice",70,30,40,6.5,27,175,"15",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rice",80,30,40,6.5,27,175,"15",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rice",90,30,40,6.5,27,175,"15",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rice",70,40,40,6.5,27,175,"15",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rice",80,40,40,6.5,27,175,"15",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rice",90,40,40,6.5,27,175,"15",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rice",70,50,40,6.5,27,175,"15",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rice",80,50,40,6.5,27,175,"15",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rice",90,50,40,6.5,27,175,"15",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rice",70,30,50,6.5,27,175,"15",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rice",80,30,50,6.5,27,175,"15",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rice",90,30,50,6.5,27,175,"15",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rice",70,40,50,6.5,27,175,"15",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rice",80,40,50,6.5,27,175,"15",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rice",90,40,50,6.5,27,175,"15",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rice",70,50,50,6.5,27,175,"15",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rice",80,50,50,6.5,27,175,"15",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rice",90,50,50,6.5,27,175,"15",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rice",70,30,30,5.5,20,300,"1",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rice",80,30,30,5.5,20,300,"1",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rice",90,30,30,5.5,20,300,"15",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rice",70,40,30,5.5,20,300,"1",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rice",80,40,30,5.5,20,300,"1",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rice",90,40,30,5.5,20,300,"15",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rice",70,50,30,5.5,20,300,"1",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rice",80,50,30,5.5,20,300,"15",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rice",90,50,30,5.5,20,300,"15",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rice",70,30,40,5.5,20,300,"1",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rice",80,30,40,5.5,20,300,"1",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rice",90,30,40,5.5,20,300,"15",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rice",70,40,40,5.5,20,300,"1",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rice",80,40,40,5.5,20,300,"15",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rice",90,40,40,5.5,20,300,"15",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rice",70,50,40,5.5,20,300,"1",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rice",80,50,40,5.5,20,300,"15",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rice",90,50,40,5.5,20,300,"15",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rice",70,30,50,5.5,20,300,"1",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rice",80,30,50,5.5,20,300,"1",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rice",90,30,50,5.5,20,300,"15",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rice",70,40,50,5.5,20,300,"1",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rice",80,40,50,5.5,20,300,"15",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rice",90,40,50,5.5,20,300,"15",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rice",70,50,50,5.5,20,300,"1",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rice",80,50,50,5.5,20,300,"15",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rice",90,50,50,5.5,20,300,"15",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rice",70,30,30,6.5,20,300,"15",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rice",80,30,30,6.5,20,300,"15",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rice",90,30,30,6.5,20,300,"15",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rice",70,40,30,6.5,20,300,"15",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rice",80,40,30,6.5,20,300,"15",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rice",90,40,30,6.5,20,300,"15",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rice",70,50,30,6.5,20,300,"15",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rice",80,50,30,6.5,20,300,"15",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rice",90,50,30,6.5,20,300,"15",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rice",70,30,40,6.5,20,300,"15",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rice",80,30,40,6.5,20,300,"15",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rice",90,30,40,6.5,20,300,"15",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rice",70,40,40,6.5,20,300,"15",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rice",80,40,40,6.5,20,300,"15",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rice",90,40,40,6.5,20,300,"15",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rice",70,50,40,6.5,20,300,"15",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rice",80,50,40,6.5,20,300,"15",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rice",90,50,40,6.5,20,300,"15",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rice",70,30,50,6.5,20,300,"15",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rice",80,30,50,6.5,20,300,"15",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rice",90,30,50,6.5,20,300,"15",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rice",70,40,50,6.5,20,300,"15",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rice",80,40,50,6.5,20,300,"15",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rice",90,40,50,6.5,20,300,"15",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rice",70,50,50,6.5,20,300,"15",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rice",80,50,50,6.5,20,300,"15",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rice",90,50,50,6.5,20,300,"15",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rice",70,30,30,5.5,27,300,"1",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rice",80,30,30,5.5,27,300,"1",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rice",90,30,30,5.5,27,300,"1",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rice",70,40,30,5.5,27,300,"1",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rice",80,40,30,5.5,27,300,"1",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rice",90,40,30,5.5,27,300,"15",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rice",70,50,30,5.5,27,300,"1",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rice",80,50,30,5.5,27,300,"1",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rice",90,50,30,5.5,27,300,"15",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rice",70,30,40,5.5,27,300,"1",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rice",80,30,40,5.5,27,300,"1",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rice",90,30,40,5.5,27,300,"1",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rice",70,40,40,5.5,27,300,"1",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rice",80,40,40,5.5,27,300,"1",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rice",90,40,40,5.5,27,300,"15",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rice",70,50,40,5.5,27,300,"1",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rice",80,50,40,5.5,27,300,"15",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rice",90,50,40,5.5,27,300,"15",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rice",70,30,50,5.5,27,300,"1",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rice",80,30,50,5.5,27,300,"1",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rice",90,30,50,5.5,27,300,"15",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rice",70,40,50,5.5,27,300,"1",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rice",80,40,50,5.5,27,300,"1",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rice",90,40,50,5.5,27,300,"15",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rice",70,50,50,5.5,27,300,"1",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rice",80,50,50,5.5,27,300,"15",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rice",90,50,50,5.5,27,300,"15",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rice",70,30,30,6.5,27,300,"1",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rice",80,30,30,6.5,27,300,"15",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rice",90,30,30,6.5,27,300,"15",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rice",70,40,30,6.5,27,300,"15",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rice",80,40,30,6.5,27,300,"15",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rice",90,40,30,6.5,27,300,"15",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rice",70,50,30,6.5,27,300,"15",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rice",80,50,30,6.5,27,300,"15",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rice",90,50,30,6.5,27,300,"15",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rice",70,30,40,6.5,27,300,"1",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rice",80,30,40,6.5,27,300,"15",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rice",90,30,40,6.5,27,300,"15",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rice",70,40,40,6.5,27,300,"15",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rice",80,40,40,6.5,27,300,"15",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rice",90,40,40,6.5,27,300,"15",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rice",70,50,40,6.5,27,300,"15",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rice",80,50,40,6.5,27,300,"15",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rice",90,50,40,6.5,27,300,"15",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rice",70,30,50,6.5,27,300,"15",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rice",80,30,50,6.5,27,300,"15",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rice",90,30,50,6.5,27,300,"15",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rice",70,40,50,6.5,27,300,"15",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rice",80,40,50,6.5,27,300,"15",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rice",90,40,50,6.5,27,300,"15",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rice",70,50,50,6.5,27,300,"15",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rice",80,50,50,6.5,27,300,"15",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rice",90,50,50,6.5,27,300,"15",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rice",70,30,30,5.5,20,175,"15",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"rice",80,30,30,5.5,20,175,"15",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"rice",90,30,30,5.5,20,175,"15",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"rice",70,40,30,5.5,20,175,"15",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"rice",80,40,30,5.5,20,175,"15",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"rice",90,40,30,5.5,20,175,"15",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"rice",70,50,30,5.5,20,175,"15",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"rice",80,50,30,5.5,20,175,"15",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"rice",90,50,30,5.5,20,175,"15",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"rice",70,30,40,5.5,20,175,"15",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"rice",80,30,40,5.5,20,175,"15",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"rice",90,30,40,5.5,20,175,"15",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"rice",70,40,40,5.5,20,175,"15",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"rice",80,40,40,5.5,20,175,"15",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"rice",90,40,40,5.5,20,175,"15",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"rice",70,50,40,5.5,20,175,"15",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"rice",80,50,40,5.5,20,175,"15",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"rice",90,50,40,5.5,20,175,"15",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"rice",70,30,50,5.5,20,175,"15",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"rice",80,30,50,5.5,20,175,"15",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"rice",90,30,50,5.5,20,175,"15",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"rice",70,40,50,5.5,20,175,"15",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
